basiparachromatin Marsipobranchiata 
anatomicopathological pathologicoanatomical 
paradisaically paradisiacally 
Sacramentarian sacramentarian 
aracanga Caragana 
Caraguata caraguata 
Atacaman Tamanaca 
anacara Aracana 
salamandarin salamandrian Salamandrina 
nasopalatal palatonasal 
tantarara tarantara 
Bombacaceae Cabombaceae 
Sabbatical sabbatical 
Barbarian barbarian 
Sabbatia sabbatia 
Barabra Barbara 
brachiofacial faciobrachial 
ablactate cabaletta 
batrachian Branchiata 
Batrachia Brachiata 
cabala calaba 
cabaan cabana canaba 
barracan barranca 
Badaga dagaba Gadaba 
abdominovaginal vaginoabdominal 
glossolabiopharyngeal labioglossopharyngeal 
glossolabiolaryngeal labioglossolaryngeal 
appraisable parablepsia 
alarmable ambarella 
balagan Bangala 
balangay bangalay 
Baalath Bathala 
labionasal nasolabial 
basinasal Bassalian 
Bakatan batakan 
albata atabal balata 
abrasax abraxas 
artaba batara 
Cactaceae Taccaceae 
carcinosarcoma sarcocarcinoma 
Aceraceae Arecaceae 
anatomicopathologic pathologicoanatomic 
antarchistical charlatanistic 
Antarctica antarctica 
camaca Macaca 
Actaeonidae Donatiaceae 
Arachnoidea arachnoidea 
Acidanthera Cantharidae 
calendarial Dalecarlian 
Calandrinae calendarian 
caudolateral laterocaudal 
adenosarcoma sarcoadenoma 
acaudate Ecaudata 
autoradiographic radioautographic 
paradisaic paradisiac 
Arcadian arcadian 
acardia Acarida Arcadia 
Canada canada 
anacard caranda 
Carandas sandarac 
Caudata caudata 
Acalephae Apalachee 
aerographical areographical 
Anacrogynae anacrogynae 
aeolharmonica chloroanaemia 
Acephalina Phalaecian 
acalephan acephalan 
Acalepha Acephala 
Cathartae Tracheata 
analeptical Placentalia 
calamitean catamenial 
Alcantarines Lancasterian 
Sarracenia sarracenia 
acraniate Carinatae 
acalyptrate Calyptratae 
catalase salaceta 
Sacramentary sacramentary 
Panacea panacea 
almaciga Macaglia 
anaphorical Pharaonical 
acanthial calathian 
Phantasmatic phantasmatic 
parasuchian unpharasaic 
anthracia Antiarcha Catharina 
Acanthia Achatina 
lachrymonasal nasolachrymal 
Auricularia auricularia 
Avicularia avicularia 
Castalian satanical 
anastaltic Catalanist 
calvaria Clavaria 
Castalia sacalait 
macromazia Macrozamia 
Aramaic cariama 
acarian Acarina Acrania 
acratia cataria 
Jacana jacana 
cantala Catalan lantaca 
Catalpa catalpa 
Matacan Tamanac 
Acamar camara maraca 
marasca mascara 
cantara nacarat 
Cayapa pacaya 
acara araca 
Tanagridae Tangaridae 
grandparental grandpaternal 
Alexandrian Alexandrina 
anadenia Danainae 
Anatidae Taeniada 
autoradiograph radioautograph 
autoradiography radioautography 
darshana Shardana 
altitudinarian latitudinarian 
Palladia palladia 
anandria Andriana 
Anapsida Anaspida 
dataria Radiata 
Salvadora salvadora 
armada Damara ramada 
ananda Danaan 
saraad Sarada 
hepatomegalia megalohepatia 
laryngopharyngeal pharyngolaryngeal 
paragrapher reparagraph 
angiokeratoma keratoangioma 
gallotannate tannogallate 
Galatae galatea 
parietosquamosal squamosoparietal 
Parentalia planetaria 
Laverania Valeriana 
aerarian Arenaria 
antenatal Atlantean Tantalean 
panatela Plataean 
Azalea azalea 
anapnea Napaean 
Ravensara ravensara 
Astraean astraean 
