Reference,Height,Width,StripHeight,,,,,,,,
1,7.03E+01,3.45E+01,100,,,,,,,,
2,1.00E+02,2.26E+01,,,,,,,,,
3,2.97E+01,6.47E+01,,,,,,,,,
4,4.12E+01,1.85E+01,,,,,,,,,
5,4.12E+01,1.36E+01,,,,,,,,,
6,1.67E+01,2.97E+01,,,,,,,,,
7,3.18E+01,6.03E+00,,,,,,,,,
8,5.54E+00,3.21E+01,,,,,,,,,
9,7.03E+01,2.44E+00,,,,,,,,,
10,6.82E+01,2.05E+00,,,,,,,,,
11,2.97E+01,3.74E+00,,,,,,,,,
12,3.95E+00,2.58E+01,,,,,,,,,
13,2.91E+00,3.21E+01,,,,,,,,,
14,3.92E+01,2.35E+00,,,,,,,,,
15,3.58E+01,2.23E+00,,,,,,,,,
16,3.11E+01,2.35E+00,,,,,,,,,
17,3.40E+01,1.75E+00,,,,,,,,,
18,2.97E+01,1.74E+00,,,,,,,,,
19,3.24E+01,1.38E+00,,,,,,,,,
20,1.67E+01,2.38E+00,,,,,,,,,
21,2.97E+01,1.25E+00,,,,,,,,,
22,1.84E+01,1.75E+00,,,,,,,,,
23,3.24E+01,8.49E-01,,,,,,,,,
24,1.57E+01,1.75E+00,,,,,,,,,
25,3.95E+00,6.24E+00,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
