Rererence,Height,Width,StripWidth,,,,,,,,,,,
1,4.22E+01,1.23E+01,100,,,,,,,,,,,
2,1.90E+01,2.02E+01,,,,,,,,,,,,
3,4.22E+01,5.58E+00,,,,,,,,,,,,
4,1.44E+01,1.58E+01,,,,,,,,,,,,
5,2.12E+01,6.58E+00,,,,,,,,,,,,
6,3.09E+01,4.40E+00,,,,,,,,,,,,
7,2.36E+01,5.27E+00,,,,,,,,,,,,
8,2.56E+01,4.68E+00,,,,,,,,,,,,
9,4.57E+00,2.59E+01,,,,,,,,,,,,
10,8.58E+00,1.29E+01,,,,,,,,,,,,
11,6.91E+00,1.48E+01,,,,,,,,,,,,
12,2.31E+01,4.43E+00,,,,,,,,,,,,
13,1.58E+01,6.47E+00,,,,,,,,,,,,
14,1.03E+01,9.10E+00,,,,,,,,,,,,
15,3.98E+00,2.26E+01,,,,,,,,,,,,
16,1.49E+01,5.59E+00,,,,,,,,,,,,
17,4.57E+00,1.82E+01,,,,,,,,,,,,
18,1.06E+01,7.80E+00,,,,,,,,,,,,
19,2.76E+00,2.73E+01,,,,,,,,,,,,
20,7.25E+00,9.79E+00,,,,,,,,,,,,
21,1.48E+01,4.68E+00,,,,,,,,,,,,
22,5.50E+00,1.19E+01,,,,,,,,,,,,
23,9.99E+00,6.56E+00,,,,,,,,,,,,
24,4.99E+01,1.27E+00,,,,,,,,,,,,
25,4.03E+00,1.57E+01,,,,,,,,,,,,
26,2.75E+00,2.22E+01,,,,,,,,,,,,
27,4.23E+00,1.34E+01,,,,,,,,,,,,
28,4.99E+01,1.10E+00,,,,,,,,,,,,
29,1.88E+01,2.89E+00,,,,,,,,,,,,
30,5.48E+00,9.77E+00,,,,,,,,,,,,
31,7.81E+00,6.56E+00,,,,,,,,,,,,
32,6.07E+00,8.28E+00,,,,,,,,,,,,
33,3.75E+00,1.34E+01,,,,,,,,,,,,
34,1.78E+01,2.73E+00,,,,,,,,,,,,
35,3.17E+01,1.50E+00,,,,,,,,,,,,
36,7.72E+00,5.79E+00,,,,,,,,,,,,
37,3.38E+00,1.31E+01,,,,,,,,,,,,
38,7.69E+00,5.36E+00,,,,,,,,,,,,
39,2.60E+00,1.57E+01,,,,,,,,,,,,
40,3.86E+01,1.05E+00,,,,,,,,,,,,
41,3.18E+00,1.24E+01,,,,,,,,,,,,
42,4.65E+00,8.40E+00,,,,,,,,,,,,
43,9.56E+00,3.89E+00,,,,,,,,,,,,
44,4.99E+01,6.85E-01,,,,,,,,,,,,
45,5.48E+00,5.99E+00,,,,,,,,,,,,
46,7.10E+00,4.60E+00,,,,,,,,,,,,
47,7.44E+00,4.34E+00,,,,,,,,,,,,
