Reference,Height,Width,Stripwidth,,,,,,,
1,49.3468,19.1884,100,,,,,,,
2,13.1981,51.0592,,,,,,,,
3,75.7083,7.7428,,,,,,,,
4,68.9302,7.9988,,,,,,,,
5,100.0000,4.6136,,,,,,,,
6,13.0707,33.8684,,,,,,,,
7,17.1792,24.7862,,,,,,,,
8,16.1970,24.7862,,,,,,,,
9,13.8544,24.7862,,,,,,,,
10,18.0440,18.0627,,,,,,,,
11,24.7445,12.9106,,,,,,,,
12,13.1723,23.8002,,,,,,,,
13,18.1827,15.4785,,,,,,,,
14,49.3468,5.5720,,,,,,,,
15,100.0000,2.4552,,,,,,,,
16,47.2307,4.9963,,,,,,,,
17,5.6315,38.4464,,,,,,,,
18,47.2307,4.4906,,,,,,,,
19,18.0440,10.7205,,,,,,,,
20,13.0707,12.9782,,,,,,,,
21,20.7527,7.7428,,,,,,,,
22,53.1256,2.6777,,,,,,,,
23,18.1155,6.7824,,,,,,,,
24,18.7529,6.3109,,,,,,,,
25,31.0698,3.0279,,,,,,,,
26,3.9320,23.4528,,,,,,,,
27,15.3009,4.6039,,,,,,,,
28,7.9507,8.0524,,,,,,,,
29,2.1161,28.6010,,,,,,,,
30,7.7739,7.1419,,,,,,,,
31,13.0707,4.2125,,,,,,,,
32,18.0440,2.7773,,,,,,,,
33,19.4523,2.5679,,,,,,,,
34,14.5904,3.3266,,,,,,,,
35,4.5563,10.1699,,,,,,,,
36,5.4862,8.4095,,,,,,,,
37,11.9841,3.2961,,,,,,,,
38,5.3984,7.1419,,,,,,,,
39,7.7760,4.7272,,,,,,,,
40,11.2856,2.6777,,,,,,,,
41,11.7118,2.5679,,,,,,,,
42,3.8914,7.7158,,,,,,,,
43,15.3009,1.9475,,,,,,,,
44,10.8085,2.5125,,,,,,,,
45,5.6315,4.6267,,,,,,,,
46,0.7090,36.2606,,,,,,,,
47,3.7438,6.6619,,,,,,,,
48,7.7760,2.9213,,,,,,,,
49,5.5806,4.0688,,,,,,,,
50,5.5806,4.0642,,,,,,,,
51,2.7309,8.0524,,,,,,,,
52,5.5806,3.5295,,,,,,,,
53,5.8484,3.2593,,,,,,,,
54,18.7529,0.9984,,,,,,,,
55,7.4278,2.5122,,,,,,,,
56,3.9087,4.5696,,,,,,,,
57,5.5806,3.1427,,,,,,,,
58,2.2362,7.6485,,,,,,,,
59,3.5390,4.8086,,,,,,,,
60,14.5904,1.1546,,,,,,,,
61,15.3009,1.0971,,,,,,,,
62,7.4278,2.2338,,,,,,,,
63,5.5806,2.9688,,,,,,,,
64,5.5806,2.8760,,,,,,,,
65,6.1138,2.6161,,,,,,,,
66,3.8837,3.8758,,,,,,,,
67,3.8837,3.7727,,,,,,,,
68,7.4278,1.9664,,,,,,,,
69,4.5563,3.2044,,,,,,,,
70,3.2420,4.5011,,,,,,,,
71,5.5806,2.5762,,,,,,,,
72,4.3963,3.2593,,,,,,,,
73,1.8731,7.6485,,,,,,,,
74,3.9087,3.4827,,,,,,,,
75,7.7993,1.7290,,,,,,,,
76,9.3108,1.4408,,,,,,,,
77,0.5708,23.4528,,,,,,,,
78,14.5904,0.9139,,,,,,,,
79,1.6893,7.7158,,,,,,,,
80,3.6840,3.4353,,,,,,,,
81,8.7331,1.4408,,,,,,,,
82,5.6315,2.2134,,,,,,,,
83,8.4590,1.4495,,,,,,,,
84,4.5190,2.6777,,,,,,,,
85,0.9334,12.9106,,,,,,,,
86,2.1161,5.6721,,,,,,,,
87,7.7993,1.5303,,,,,,,,
88,3.6840,3.2266,,,,,,,,
89,2.8361,4.0424,,,,,,,,
90,2.7955,4.0424,,,,,,,,
91,3.5390,2.9342,,,,,,,,
92,14.5904,0.7104,,,,,,,,
93,2.2442,4.5011,,,,,,,,
94,2.3452,4.1990,,,,,,,,
95,5.6315,1.7302,,,,,,,,
96,6.1138,1.5829,,,,,,,,
97,0.4126,23.4528,,,,,,,,
98,0.4103,23.4528,,,,,,,,
99,8.4590,1.1339,,,,,,,,
100,3.7818,2.5125,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
