Reference,Height,Width,StripHeight,
1,4.93E+01,3.43E+01,100,
2,1.00E+02,1.48E+01,,
3,4.93E+01,2.48E+01,,
4,4.93E+01,1.55E+01,,
5,1.32E+01,5.11E+01,,
6,1.80E+01,3.63E+01,,
7,6.89E+01,8.00E+00,,
8,1.31E+01,3.81E+01,,
9,2.66E+01,1.67E+01,,
10,1.32E+01,3.09E+01,,
11,5.63E+00,5.11E+01,,
12,6.89E+01,2.68E+00,,
13,2.66E+01,6.78E+00,,
14,1.31E+01,1.30E+01,,
15,1.92E+01,7.65E+00,,
16,1.88E+01,7.31E+00,,
17,3.11E+01,3.03E+00,,
18,3.93E+00,2.35E+01,,
19,1.19E+01,7.65E+00,,
20,5.58E+00,1.32E+01,,
21,5.58E+00,1.02E+01,,
22,1.39E+00,2.35E+01,,
23,7.09E-01,3.63E+01,,
24,5.58E+00,4.06E+00,,
25,5.58E+00,3.53E+00,,
