Reference,Height,Width,StripWidth,
1,3.15E+01,2.73E+01,100,
2,3.69E+01,1.57E+01,,
3,1.99E+01,2.88E+01,,
4,3.89E+01,1.44E+01,,
5,2.49E+01,1.57E+01,,
6,2.05E+01,1.57E+01,,
7,7.30E+00,4.32E+01,,
8,4.46E+01,6.84E+00,,
9,3.53E+01,7.36E+00,,
10,3.53E+01,6.90E+00,,
11,1.27E+01,1.74E+01,,
12,1.56E+01,1.24E+01,,
13,6.96E+00,2.64E+01,,
14,1.09E+01,1.57E+01,,
15,2.71E+01,6.23E+00,,
16,6.64E+01,2.43E+00,,
17,1.50E+01,9.96E+00,,
18,9.23E+00,1.43E+01,,
19,1.36E+01,8.51E+00,,
20,3.36E+00,3.38E+01,,
21,1.75E+01,6.23E+00,,
22,1.10E+01,9.82E+00,,
23,4.00E+01,2.37E+00,,
24,2.76E+00,2.95E+01,,
25,7.96E+00,9.82E+00,,
26,3.19E+00,2.30E+01,,
27,1.36E+01,4.98E+00,,
28,1.91E+00,3.52E+01,,
29,2.68E+01,2.43E+00,,
30,5.32E+01,1.14E+00,,
31,4.84E+01,1.23E+00,,
32,9.67E+00,6.02E+00,,
33,8.06E+00,6.55E+00,,
34,4.84E+01,1.09E+00,,
35,1.36E+01,3.68E+00,,
36,2.16E+00,2.08E+01,,
37,1.03E+00,4.32E+01,,
38,4.00E+01,1.09E+00,,
39,6.96E+00,6.26E+00,,
40,2.73E+00,1.56E+01,,
41,6.82E+00,6.14E+00,,
42,3.32E+00,1.24E+01,,
43,3.43E+00,1.17E+01,,
44,2.78E+00,1.42E+01,,
45,8.99E-01,4.32E+01,,
46,2.76E+00,1.37E+01,,
47,5.90E+01,6.37E-01,,
48,3.09E+00,1.17E+01,,
49,6.82E+00,4.87E+00,,
50,1.06E+00,3.13E+01,,
51,1.57E+00,2.07E+01,,
52,9.12E-01,3.52E+01,,
53,4.25E+01,7.44E-01,,
54,3.36E+00,9.39E+00,,
55,1.52E+00,2.07E+01,,
56,4.00E+00,7.62E+00,,
57,4.33E+00,7.03E+00,,
58,2.98E+01,9.50E-01,,
59,6.56E-01,4.32E+01,,
60,6.82E+00,4.15E+00,,
61,6.29E-01,4.32E+01,,
62,1.21E+01,2.14E+00,,
63,2.98E+01,8.52E-01,,
64,4.06E+01,6.23E-01,,
65,4.79E+00,5.21E+00,,
66,4.91E+00,4.89E+00,,
67,2.06E+00,1.16E+01,,
68,9.67E+00,2.45E+00,,
69,5.84E+00,3.98E+00,,
70,3.18E+00,6.55E+00,,
71,4.26E+01,4.86E-01,,
72,1.27E+00,1.58E+01,,
73,1.14E+00,1.74E+01,,
74,3.92E+00,5.03E+00,,
75,1.93E+00,1.01E+01,,
76,1.19E+00,1.58E+01,,
77,4.26E+01,4.41E-01,,
78,2.52E+01,7.44E-01,,
79,6.96E+00,2.67E+00,,
80,2.78E+00,6.61E+00,,
81,4.41E+00,4.09E+00,,
82,2.60E+00,6.91E+00,,
83,6.82E+00,2.63E+00,,
84,4.94E+00,3.61E+00,,
85,6.52E-01,2.73E+01,,
86,3.03E+01,5.86E-01,,
87,9.45E+00,1.86E+00,,
88,2.49E+00,7.03E+00,,
89,2.91E+01,5.98E-01,,
90,4.94E+00,3.51E+00,,
91,2.98E+01,5.78E-01,,
92,2.62E+00,6.57E+00,,
93,6.82E+00,2.50E+00,,
94,7.37E-01,2.30E+01,,
95,2.50E+00,6.80E+00,,
96,3.10E+00,5.40E+00,,
97,1.34E+01,1.23E+00,,
98,2.34E+01,7.00E-01,,
99,4.65E-01,3.52E+01,,
100,2.46E+00,6.57E+00,,
101,6.70E-01,2.37E+01,,
102,8.69E+00,1.82E+00,,
103,5.79E-01,2.73E+01,,
104,4.41E+00,3.53E+00,,
105,1.34E+01,1.17E+00,,
106,8.14E+00,1.91E+00,,
107,1.34E+01,1.16E+00,,
108,2.36E+00,6.55E+00,,
109,1.91E+00,7.99E+00,,
110,3.83E+00,3.97E+00,,
111,5.84E+00,2.60E+00,,
112,2.59E+01,5.86E-01,,
113,6.82E+00,2.22E+00,,
114,5.76E-01,2.62E+01,,
115,9.62E-01,1.56E+01,,
116,6.82E+00,2.20E+00,,
117,2.20E+01,6.81E-01,,
118,2.27E+00,6.57E+00,,
119,2.37E+00,6.28E+00,,
120,2.18E+01,6.81E-01,,
121,1.34E+01,1.11E+00,,
122,2.43E+01,6.05E-01,,
123,1.63E+01,8.97E-01,,
124,7.98E+00,1.82E+00,,
125,1.18E+01,1.23E+00,,
126,2.06E+00,7.00E+00,,
127,3.92E+00,3.66E+00,,
128,2.19E+00,6.57E+00,,
129,1.32E+00,1.08E+01,,
130,1.58E+01,8.97E-01,,
131,4.94E+00,2.85E+00,,
132,9.20E-01,1.51E+01,,
133,3.46E+00,3.98E+00,,
134,4.82E+00,2.82E+00,,
135,4.80E+00,2.80E+00,,
136,2.04E+00,6.58E+00,,
137,3.36E+00,3.98E+00,,
138,9.62E+00,1.37E+00,,
139,6.70E-01,1.95E+01,,
140,4.65E+00,2.80E+00,,
141,1.67E+00,7.73E+00,,
142,3.09E+00,4.17E+00,,
143,1.06E+00,1.18E+01,,
144,5.50E+00,2.26E+00,,
145,2.81E+00,4.36E+00,,
146,3.28E+01,3.64E-01,,
147,5.34E-01,2.24E+01,,
148,2.99E+00,3.97E+00,,
149,3.92E+00,3.02E+00,,
150,1.94E+01,6.05E-01,,
151,1.15E+01,1.01E+00,,
152,3.09E+00,3.74E+00,,
153,4.82E+00,2.39E+00,,
