reference,height,width,stripwidth,
1,5.73E+01,3.49E+01,100,
2,9.51E+01,1.50E+01,,
3,3.78E+01,3.49E+01,,
4,9.51E+01,9.65E+00,,
5,5.62E+01,7.80E+00,,
6,4.38E+01,7.80E+00,,
7,5.01E+01,6.38E+00,,
8,7.43E+01,3.47E+00,,
9,1.00E+02,2.34E+00,,
10,8.72E+01,2.48E+00,,
11,4.89E+00,3.77E+01,,
12,8.72E+01,1.84E+00,,
13,5.01E+01,2.64E+00,,
14,1.00E+02,1.21E+00,,
15,2.04E+01,5.84E+00,,
16,1.00E+02,1.19E+00,,
17,8.72E+01,1.34E+00,,
18,4.89E+00,2.37E+01,,
19,1.26E+01,9.02E+00,,
20,1.20E+01,9.02E+00,,
21,8.72E+01,1.06E+00,,
22,7.43E+01,1.12E+00,,
23,1.03E+01,6.99E+00,,
24,4.73E+01,1.50E+00,,
25,4.31E+01,1.59E+00,,
26,4.03E+01,1.34E+00,,
27,7.44E+00,6.99E+00,,
28,4.73E+01,1.09E+00,,
29,1.31E+01,3.18E+00,,
30,3.86E+01,1.07E+00,,
31,3.57E+01,1.07E+00,,
32,3.67E+01,1.03E+00,,
33,4.47E+00,8.31E+00,,
34,2.73E+01,1.36E+00,,
35,4.41E+01,8.33E-01,,
36,4.21E+00,8.31E+00,,
37,4.89E+00,7.13E+00,,
38,2.81E+01,1.23E+00,,
39,2.55E+01,1.36E+00,,
40,4.12E+00,8.31E+00,,
41,4.41E+01,7.56E-01,,
42,4.50E+00,6.99E+00,,
43,2.46E+01,1.23E+00,,
44,1.79E+01,1.34E+00,,
45,3.42E+00,6.99E+00,,
46,7.30E+00,3.18E+00,,
47,2.23E+01,1.03E+00,,
48,2.10E+01,1.03E+00,,
49,1.61E+01,1.34E+00,,
50,2.00E+01,1.03E+00,,
