Reference,Height,Width,Stripwidth,,,,,,
1,1.58E+01,6.20E+01,100,,,,,,
2,4.42E+01,1.82E+01,,,,,,,
3,1.27E+01,6.20E+01,,,,,,,
4,3.14E+01,1.73E+01,,,,,,,
5,4.42E+01,1.22E+01,,,,,,,
6,3.14E+01,1.28E+01,,,,,,,
7,1.09E+01,3.01E+01,,,,,,,
8,1.84E+01,1.77E+01,,,,,,,
9,4.59E+00,6.20E+01,,,,,,,
10,9.12E+00,3.05E+01,,,,,,,
11,5.70E+01,4.27E+00,,,,,,,
12,8.53E+01,2.84E+00,,,,,,,
13,5.80E+01,3.91E+00,,,,,,,
14,7.33E+00,3.05E+01,,,,,,,
15,3.37E+00,4.83E+01,,,,,,,
16,8.53E+01,1.90E+00,,,,,,,
17,5.35E+01,2.86E+00,,,,,,,
18,6.17E+00,2.42E+01,,,,,,,
19,2.74E+01,5.39E+00,,,,,,,
20,3.18E+01,4.49E+00,,,,,,,
21,5.27E+01,2.35E+00,,,,,,,
22,2.83E+01,4.27E+00,,,,,,,
23,3.52E+01,3.21E+00,,,,,,,
24,1.84E+01,5.48E+00,,,,,,,
25,2.85E+00,3.41E+01,,,,,,,
26,2.79E+01,3.42E+00,,,,,,,
27,5.80E+01,1.48E+00,,,,,,,
28,1.84E+01,4.51E+00,,,,,,,
29,1.58E+01,5.18E+00,,,,,,,
30,2.85E+00,2.79E+01,,,,,,,
31,3.30E+01,2.16E+00,,,,,,,
32,4.38E+01,1.52E+00,,,,,,,
33,5.63E+01,1.12E+00,,,,,,,
34,5.35E+01,1.09E+00,,,,,,,
35,1.75E+01,3.21E+00,,,,,,,
36,1.64E+01,3.21E+00,,,,,,,
37,2.79E+01,1.76E+00,,,,,,,
38,2.95E+01,1.38E+00,,,,,,,
39,2.52E+01,1.60E+00,,,,,,,
40,2.95E+01,1.35E+00,,,,,,,
41,7.40E+00,5.18E+00,,,,,,,
42,1.62E+01,2.32E+00,,,,,,,
43,1.67E+01,2.23E+00,,,,,,,
44,2.35E+00,1.57E+01,,,,,,,
45,2.34E+00,1.57E+01,,,,,,,
46,1.84E+01,1.99E+00,,,,,,,
47,2.56E+01,1.38E+00,,,,,,,
48,1.45E+01,2.35E+00,,,,,,,
49,4.75E+01,7.09E-01,,,,,,,
50,1.40E+01,2.34E+00,,,,,,,
51,1.84E+01,1.76E+00,,,,,,,
52,4.39E+01,6.99E-01,,,,,,,
53,1.40E+01,2.16E+00,,,,,,,
54,1.67E+01,1.72E+00,,,,,,,
55,1.35E+00,2.11E+01,,,,,,,
56,4.38E+01,6.39E-01,,,,,,,
57,2.46E+00,1.11E+01,,,,,,,
58,6.01E+00,4.49E+00,,,,,,,
59,1.64E+01,1.62E+00,,,,,,,
60,4.69E+00,5.41E+00,,,,,,,
61,1.86E+01,1.35E+00,,,,,,,
62,1.82E+00,1.36E+01,,,,,,,
63,2.95E+01,8.35E-01,,,,,,,
64,2.84E+01,8.49E-01,,,,,,,
65,2.97E+01,8.07E-01,,,,,,,
66,1.01E+01,2.35E+00,,,,,,,
67,2.97E+01,7.91E-01,,,,,,,
68,4.75E+01,4.89E-01,,,,,,,
69,1.90E+01,1.19E+00,,,,,,,
70,6.17E+00,3.61E+00,,,,,,,
71,1.90E+01,1.16E+00,,,,,,,
72,4.39E+01,4.99E-01,,,,,,,
73,1.55E+00,1.36E+01,,,,,,,
74,1.30E+01,1.62E+00,,,,,,,
75,1.52E+00,1.30E+01,,,,,,,
76,9.43E-01,2.09E+01,,,,,,,
77,3.86E+01,5.03E-01,,,,,,,
78,8.10E+00,2.35E+00,,,,,,,
79,8.09E+00,2.31E+00,,,,,,,
80,2.91E+01,6.35E-01,,,,,,,
81,1.34E+01,1.35E+00,,,,,,,
82,3.86E+01,4.66E-01,,,,,,,
83,1.29E+01,1.38E+00,,,,,,,
84,6.17E+00,2.39E+00,,,,,,,
85,2.70E+01,5.40E-01,,,,,,,
86,1.62E+01,8.96E-01,,,,,,,
87,2.66E+01,5.40E-01,,,,,,,
88,6.10E+00,2.34E+00,,,,,,,
89,2.91E+01,4.83E-01,,,,,,,
90,1.04E+01,1.35E+00,,,,,,,
91,2.69E+00,5.18E+00,,,,,,,
92,5.61E+00,2.34E+00,,,,,,,
93,4.18E+00,2.87E+00,,,,,,,
94,1.52E+00,7.85E+00,,,,,,,
95,2.84E+01,3.98E-01,,,,,,,
96,3.90E+00,2.87E+00,,,,,,,
97,6.17E+00,1.76E+00,,,,,,,
98,9.23E+00,1.09E+00,,,,,,,
99,2.84E+01,3.51E-01,,,,,,,
100,9.23E+00,1.07E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
