Reference,Height,Width,StripHeight,,,,,,
1,5.36E+01,5.80E+01,100,,,,,,
2,1.93E+01,7.09E+01,,,,,,,
3,4.38E+01,2.81E+01,,,,,,,
4,2.78E+01,2.67E+01,,,,,,,
5,1.13E+01,6.25E+01,,,,,,,
6,5.11E+00,7.09E+01,,,,,,,
7,9.82E+00,2.81E+01,,,,,,,
8,7.78E+00,3.51E+01,,,,,,,
9,1.00E+02,2.38E+00,,,,,,,
10,3.14E+01,5.53E+00,,,,,,,
11,2.22E+01,7.38E+00,,,,,,,
12,3.38E+00,4.37E+01,,,,,,,
13,3.83E+00,3.51E+01,,,,,,,
14,3.73E+00,3.51E+01,,,,,,,
15,2.04E+00,6.25E+01,,,,,,,
16,1.96E+00,6.25E+01,,,,,,,
17,5.36E+01,1.99E+00,,,,,,,
18,9.98E-01,9.76E+01,,,,,,,
19,3.38E+00,2.72E+01,,,,,,,
20,2.25E+00,3.51E+01,,,,,,,
21,5.36E+01,1.45E+00,,,,,,,
22,1.19E+00,6.25E+01,,,,,,,
23,1.10E+00,6.25E+01,,,,,,,
24,3.14E+01,1.85E+00,,,,,,,
25,5.36E+01,7.53E-01,,,,,,,
,,,,,,,,,
,,,,,,,,,
