reference,height,width,stripwidth,benchmark
1,5.73E+01,4.41E+01,100,100
2,2.23E+01,3.87E+01,,
3,8.67E+01,9.71E+00,,
4,1.67E+01,3.51E+01,,
5,2.60E+01,1.89E+01,,
6,2.24E+01,1.89E+01,,
7,4.83E+01,7.46E+00,,
8,1.41E+01,1.69E+01,,
9,4.75E+00,4.41E+01,,
10,4.83E+01,3.79E+00,,
11,1.24E+01,1.47E+01,,
12,4.55E+00,3.93E+01,,
13,2.76E+01,6.17E+00,,
14,6.89E+00,2.46E+01,,
15,4.30E+00,3.93E+01,,
16,7.76E+00,2.08E+01,,
17,2.19E+01,7.29E+00,,
18,5.49E+00,2.46E+01,,
19,3.44E+00,3.87E+01,,
20,8.44E+01,1.46E+00,,
21,2.19E+01,5.55E+00,,
22,4.83E+01,2.32E+00,,
23,2.81E+00,3.87E+01,,
24,6.20E+01,1.52E+00,,
25,1.07E+01,7.74E+00,,
26,8.44E+01,9.56E-01,,
27,8.67E+01,8.94E-01,,
28,1.67E+01,4.19E+00,,
29,4.83E+01,1.41E+00,,
30,5.70E+01,1.02E+00,,
31,1.71E+01,3.39E+00,,
32,1.58E+01,3.39E+00,,
33,1.56E+01,3.44E+00,,
34,1.41E+01,3.47E+00,,
35,1.25E+00,3.87E+01,,
36,3.30E+01,1.44E+00,,
37,5.04E+01,8.80E-01,,
38,6.20E+01,7.14E-01,,
39,7.52E+00,5.54E+00,,
40,1.07E+01,3.74E+00,,
41,7.76E+00,5.05E+00,,
42,8.00E+00,4.82E+00,,
43,6.63E+00,5.54E+00,,
44,7.36E+00,4.82E+00,,
45,3.80E+01,8.82E-01,,
46,5.32E+00,6.17E+00,,
47,3.63E+01,8.80E-01,,
48,5.01E+00,6.17E+00,,
49,2.58E+00,1.15E+01,,
50,2.74E+01,1.02E+00,,
