Reference,Height,Width,Stripwidth,
1,3.31E+01,5.42E+01,100,
2,4.55E+01,1.97E+01,,
3,1.24E+01,5.42E+01,,
4,6.62E+01,7.25E+00,,
5,5.56E+00,7.39E+01,,
6,1.66E+01,2.18E+01,,
7,1.33E+01,2.49E+01,,
8,4.41E+01,5.81E+00,,
9,8.52E+00,2.80E+01,,
10,5.30E+01,3.65E+00,,
11,8.52E+00,1.94E+01,,
12,1.23E+01,1.07E+01,,
13,1.23E+01,8.35E+00,,
14,8.88E+00,1.08E+01,,
15,8.52E+00,1.09E+01,,
16,1.54E+01,5.99E+00,,
17,8.12E+00,1.09E+01,,
18,1.08E+00,7.39E+01,,
19,7.28E+00,1.09E+01,,
20,1.14E+01,6.92E+00,,
21,7.95E+00,9.43E+00,,
22,9.36E+00,7.98E+00,,
23,1.23E+01,6.07E+00,,
24,1.59E+00,4.41E+01,,
25,4.41E+01,1.59E+00,,
26,9.75E+00,6.92E+00,,
27,2.92E+01,2.31E+00,,
28,7.17E+00,9.17E+00,,
29,5.08E+00,1.28E+01,,
30,9.36E+00,6.89E+00,,
31,1.51E+00,4.04E+01,,
32,3.88E+00,1.56E+01,,
33,1.94E+00,3.10E+01,,
34,5.08E+00,1.17E+01,,
35,6.43E+00,9.17E+00,,
36,5.86E+00,1.01E+01,,
37,9.68E+00,5.99E+00,,
38,5.31E+00,1.09E+01,,
39,1.95E+01,2.93E+00,,
40,5.08E+00,1.09E+01,,
41,4.73E+00,1.09E+01,,
42,1.26E+00,4.04E+01,,
43,8.40E+00,5.99E+00,,
44,3.12E+00,1.57E+01,,
45,1.32E+01,3.65E+00,,
46,4.43E+00,1.08E+01,,
47,1.99E+00,2.40E+01,,
48,1.59E+00,2.98E+01,,
49,7.28E+00,6.34E+00,,
50,1.14E+00,4.04E+01,,
51,5.86E+00,7.79E+00,,
52,2.28E+00,1.96E+01,,
53,5.86E+00,7.47E+00,,
54,1.04E+00,4.04E+01,,
55,1.15E+01,3.68E+00,,
56,2.87E+00,1.47E+01,,
57,4.56E+00,9.17E+00,,
58,1.74E+00,2.40E+01,,
59,5.86E+00,7.07E+00,,
60,3.65E+00,1.12E+01,,
61,1.30E+00,3.10E+01,,
62,1.32E+01,3.05E+00,,
63,1.77E+01,2.26E+00,,
64,9.36E+00,4.27E+00,,
65,1.56E+00,2.49E+01,,
66,6.54E+00,5.89E+00,,
67,1.25E+01,3.05E+00,,
68,4.41E+01,8.60E-01,,
69,2.28E+00,1.62E+01,,
70,3.28E+00,1.09E+01,,
71,1.17E+01,3.05E+00,,
72,1.77E+00,2.01E+01,,
73,1.11E+00,3.10E+01,,
74,5.74E+00,5.89E+00,,
75,5.70E+00,5.77E+00,,
76,7.87E-01,4.04E+01,,
77,5.70E+00,5.46E+00,,
78,7.95E+00,3.58E+00,,
79,2.87E+00,9.77E+00,,
80,1.36E+00,2.01E+01,,
81,1.79E+01,1.51E+00,,
82,4.64E+00,5.79E+00,,
83,1.08E+00,2.40E+01,,
84,1.79E+01,1.42E+00,,
85,1.77E+01,1.43E+00,,
86,3.13E+00,8.04E+00,,
87,2.45E+00,9.84E+00,,
88,1.56E+00,1.55E+01,,
89,7.95E+00,2.95E+00,,
90,6.53E-01,3.58E+01,,
91,1.70E+00,1.30E+01,,
92,2.72E+00,8.04E+00,,
93,6.03E-01,3.58E+01,,
94,2.19E+00,9.84E+00,,
95,4.41E+01,4.71E-01,,
96,5.74E-01,3.58E+01,,
97,5.70E-01,3.58E+01,,
98,4.41E+01,4.50E-01,,
99,1.70E+00,1.10E+01,,
100,7.63E-01,2.40E+01,,
