Reference,Height,Width,StripHeight,,,,,,,
1,3.12E+01,3.86E+01,100,,,,,,,
2,3.52E+01,2.98E+01,,,,,,,,
3,1.00E+02,1.03E+01,,,,,,,,
4,6.26E+01,1.40E+01,,,,,,,,
5,3.52E+01,1.92E+01,,,,,,,,
6,1.54E+01,4.07E+01,,,,,,,,
7,3.18E+01,1.91E+01,,,,,,,,
8,3.07E+01,1.91E+01,,,,,,,,
9,1.14E+01,3.67E+01,,,,,,,,
10,1.10E+01,3.67E+01,,,,,,,,
11,6.26E+01,6.25E+00,,,,,,,,
12,1.12E+01,2.86E+01,,,,,,,,
13,2.24E+01,1.24E+01,,,,,,,,
14,1.29E+01,2.00E+01,,,,,,,,
15,1.29E+01,1.85E+01,,,,,,,,
16,3.12E+01,7.02E+00,,,,,,,,
17,4.76E+00,4.07E+01,,,,,,,,
18,1.12E+01,1.67E+01,,,,,,,,
19,3.12E+01,3.39E+00,,,,,,,,
20,2.19E+00,4.07E+01,,,,,,,,
21,6.26E+01,1.37E+00,,,,,,,,
22,2.19E+00,2.94E+01,,,,,,,,
23,1.12E+01,3.72E+00,,,,,,,,
24,1.29E+01,2.21E+00,,,,,,,,
25,2.19E+00,1.12E+01,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
