reference,height,width,stripwidth,,,,,,
1,3.60E+01,4.43E+01,100,,,,,,
2,1.00E+02,1.27E+01,,,,,,,
3,7.85E+01,1.37E+01,,,,,,,
4,1.29E+01,4.89E+01,,,,,,,
5,3.08E+01,1.84E+01,,,,,,,
6,1.00E+02,5.07E+00,,,,,,,
7,4.26E+01,1.10E+01,,,,,,,
8,1.35E+01,2.13E+01,,,,,,,
9,5.22E+00,5.45E+01,,,,,,,
10,3.60E+01,7.83E+00,,,,,,,
11,7.85E+01,3.03E+00,,,,,,,
12,3.83E+01,5.86E+00,,,,,,,
13,1.91E+01,1.10E+01,,,,,,,
14,2.15E+01,9.78E+00,,,,,,,
15,3.83E+01,5.18E+00,,,,,,,
16,3.74E+00,4.84E+01,,,,,,,
17,2.15E+01,6.92E+00,,,,,,,
18,3.84E+00,2.92E+01,,,,,,,
19,2.43E+00,4.15E+01,,,,,,,
20,3.84E+00,2.53E+01,,,,,,,
21,1.01E+01,9.29E+00,,,,,,,
22,1.01E+01,9.12E+00,,,,,,,
23,2.06E+01,4.46E+00,,,,,,,
24,1.68E+00,5.45E+01,,,,,,,
25,3.60E+01,2.36E+00,,,,,,,
26,1.32E+00,5.45E+01,,,,,,,
27,2.01E+00,3.39E+01,,,,,,,
28,1.01E+01,6.05E+00,,,,,,,
29,4.72E+00,9.13E+00,,,,,,,
30,3.08E+01,1.35E+00,,,,,,,
31,1.49E+01,2.54E+00,,,,,,,
32,2.07E+01,1.72E+00,,,,,,,
33,1.02E+01,3.26E+00,,,,,,,
34,3.08E+01,1.03E+00,,,,,,,
35,2.59E+00,1.22E+01,,,,,,,
36,2.43E+00,1.30E+01,,,,,,,
37,3.08E+01,1.02E+00,,,,,,,
38,2.01E+00,1.50E+01,,,,,,,
39,1.31E+01,2.29E+00,,,,,,,
40,2.06E+01,1.45E+00,,,,,,,
41,2.07E+01,1.41E+00,,,,,,,
42,1.29E+00,2.13E+01,,,,,,,
43,1.02E+01,2.65E+00,,,,,,,
44,2.13E+00,1.22E+01,,,,,,,
45,1.18E+00,2.13E+01,,,,,,,
46,1.49E+01,1.60E+00,,,,,,,
47,3.74E+00,6.10E+00,,,,,,,
48,1.49E+01,1.45E+00,,,,,,,
49,9.35E+00,2.29E+00,,,,,,,
50,8.36E+00,2.29E+00,,,,,,,
,,,,,,,,,
,,,,,,,,,
