Rererence,Height,Width,StripWidth,,,,,,
1,2.54E+01,2.05E+01,100,,,,,,
2,1.72E+01,2.21E+01,,,,,,,
3,1.24E+01,2.90E+01,,,,,,,
4,1.57E+01,2.21E+01,,,,,,,
5,2.14E+01,1.52E+01,,,,,,,
6,4.08E+01,7.90E+00,,,,,,,
7,4.08E+01,5.29E+00,,,,,,,
8,6.37E+00,2.21E+01,,,,,,,
9,3.60E+01,3.72E+00,,,,,,,
10,8.71E+00,1.51E+01,,,,,,,
11,2.48E+01,5.13E+00,,,,,,,
12,7.68E+00,1.52E+01,,,,,,,
13,1.59E+01,7.28E+00,,,,,,,
14,2.54E+01,4.39E+00,,,,,,,
15,1.41E+01,7.88E+00,,,,,,,
16,1.28E+01,8.04E+00,,,,,,,
17,2.54E+01,4.02E+00,,,,,,,
18,7.56E+00,1.34E+01,,,,,,,
19,4.63E+01,2.09E+00,,,,,,,
20,1.10E+01,8.43E+00,,,,,,,
21,2.48E+01,3.21E+00,,,,,,,
22,9.85E+00,6.60E+00,,,,,,,
23,3.86E+00,1.56E+01,,,,,,,
24,7.06E+00,8.13E+00,,,,,,,
25,6.00E+00,9.49E+00,,,,,,,
26,2.48E+01,2.15E+00,,,,,,,
27,1.41E+01,3.76E+00,,,,,,,
28,3.19E+01,1.45E+00,,,,,,,
29,4.27E+00,1.07E+01,,,,,,,
30,7.26E+00,5.27E+00,,,,,,,
31,6.90E+00,5.05E+00,,,,,,,
32,3.44E+01,9.83E-01,,,,,,,
33,4.35E+00,7.73E+00,,,,,,,
34,3.60E+01,9.23E-01,,,,,,,
35,2.07E+00,1.59E+01,,,,,,,
36,8.70E+00,3.78E+00,,,,,,,
37,1.25E+00,2.28E+01,,,,,,,
38,1.44E+00,1.92E+01,,,,,,,
39,2.03E+01,1.32E+00,,,,,,,
40,2.50E+00,1.07E+01,,,,,,,
41,2.22E+00,1.18E+01,,,,,,,
42,1.74E+01,1.47E+00,,,,,,,
43,1.16E+01,2.18E+00,,,,,,,
44,1.88E+01,1.31E+00,,,,,,,
45,2.31E+00,1.04E+01,,,,,,,
46,8.96E+00,2.67E+00,,,,,,,
47,2.93E+01,8.14E-01,,,,,,,
48,6.59E+00,3.60E+00,,,,,,,
49,6.66E-01,3.53E+01,,,,,,,
50,1.93E+00,1.20E+01,,,,,,,
51,5.16E+00,4.49E+00,,,,,,,
52,1.01E+01,2.28E+00,,,,,,,
53,8.75E+00,2.63E+00,,,,,,,
54,3.38E+00,6.81E+00,,,,,,,
55,1.51E+00,1.52E+01,,,,,,,
56,1.89E+01,1.18E+00,,,,,,,
57,4.22E+01,5.16E-01,,,,,,,
58,1.75E+00,1.23E+01,,,,,,,
59,6.50E+00,3.23E+00,,,,,,,
60,5.30E+00,3.95E+00,,,,,,,
61,1.44E+00,1.43E+01,,,,,,,
62,1.24E+01,1.65E+00,,,,,,,
63,3.00E+00,6.76E+00,,,,,,,
64,8.77E+00,2.31E+00,,,,,,,
65,1.22E+01,1.66E+00,,,,,,,
66,2.34E+01,8.60E-01,,,,,,,
67,2.00E+01,1.01E+00,,,,,,,
68,1.93E+00,1.04E+01,,,,,,,
69,1.30E+01,1.54E+00,,,,,,,
70,2.41E+00,8.24E+00,,,,,,,
71,2.33E+00,8.50E+00,,,,,,,
72,3.39E+00,5.85E+00,,,,,,,
73,3.10E+00,6.39E+00,,,,,,,
74,3.29E+01,5.99E-01,,,,,,,
75,4.08E+00,4.82E+00,,,,,,,
76,3.92E+00,4.93E+00,,,,,,,
77,3.20E+01,6.00E-01,,,,,,,
78,4.06E+00,4.72E+00,,,,,,,
79,2.03E+01,9.42E-01,,,,,,,
80,3.82E+00,4.89E+00,,,,,,,
81,6.27E+00,2.96E+00,,,,,,,
82,4.80E+00,3.84E+00,,,,,,,
83,3.75E+00,4.91E+00,,,,,,,
84,5.34E+00,3.41E+00,,,,,,,
85,9.83E-01,1.85E+01,,,,,,,
86,1.41E+00,1.26E+01,,,,,,,
87,1.67E+01,1.06E+00,,,,,,,
88,3.51E+00,5.05E+00,,,,,,,
89,4.06E+00,4.29E+00,,,,,,,
90,6.53E-01,2.67E+01,,,,,,,
91,1.73E+01,1.01E+00,,,,,,,
92,1.55E+01,1.12E+00,,,,,,,
93,2.70E+00,6.39E+00,,,,,,,
94,7.06E+00,2.44E+00,,,,,,,
95,5.64E+00,3.05E+00,,,,,,,
96,2.03E+01,8.41E-01,,,,,,,
97,5.95E+00,2.80E+00,,,,,,,
98,1.49E+01,1.11E+00,,,,,,,
99,1.24E+01,1.31E+00,,,,,,,
100,9.85E+00,1.65E+00,,,,,,,
101,3.97E+00,4.06E+00,,,,,,,
102,1.27E+01,1.27E+00,,,,,,,
103,6.17E+00,2.56E+00,,,,,,,
104,4.67E+00,3.37E+00,,,,,,,
105,8.81E+00,1.77E+00,,,,,,,
106,5.85E+00,2.67E+00,,,,,,,
107,3.01E+00,5.17E+00,,,,,,,
108,1.90E+01,8.16E-01,,,,,,,
109,4.55E+00,3.37E+00,,,,,,,
110,1.34E+01,1.12E+00,,,,,,,
111,1.19E+01,1.27E+00,,,,,,,
112,9.46E-01,1.59E+01,,,,,,,
113,2.42E+01,6.22E-01,,,,,,,
114,3.08E+00,4.89E+00,,,,,,,
115,1.89E+00,7.93E+00,,,,,,,
116,3.05E+00,4.91E+00,,,,,,,
117,1.69E+01,8.86E-01,,,,,,,
118,3.92E+00,3.81E+00,,,,,,,
119,1.93E+00,7.67E+00,,,,,,,
120,4.88E+00,3.01E+00,,,,,,,
121,4.88E+00,3.01E+00,,,,,,,
122,1.15E+01,1.27E+00,,,,,,,
123,9.58E-01,1.52E+01,,,,,,,
124,3.69E+00,3.95E+00,,,,,,,
125,8.30E+00,1.75E+00,,,,,,,
126,1.72E+00,8.43E+00,,,,,,,
127,1.33E+00,1.09E+01,,,,,,,
128,2.80E+00,5.17E+00,,,,,,,
129,2.37E+00,6.08E+00,,,,,,,
130,2.46E+01,5.83E-01,,,,,,,
131,5.84E-01,2.44E+01,,,,,,,
132,1.38E+00,1.04E+01,,,,,,,
133,1.95E+01,7.28E-01,,,,,,,
134,3.75E+00,3.78E+00,,,,,,,
135,1.46E+01,9.66E-01,,,,,,,
136,1.09E+00,1.29E+01,,,,,,,
137,6.49E+00,2.15E+00,,,,,,,
138,2.48E+01,5.60E-01,,,,,,,
139,9.12E-01,1.52E+01,,,,,,,
140,9.12E-01,1.52E+01,,,,,,,
141,1.30E+01,1.07E+00,,,,,,,
142,3.44E+01,4.03E-01,,,,,,,
143,5.91E-01,2.35E+01,,,,,,,
144,1.70E+01,8.14E-01,,,,,,,
145,1.67E+00,8.31E+00,,,,,,,
146,9.07E+00,1.52E+00,,,,,,,
147,7.13E-01,1.92E+01,,,,,,,
148,2.41E+01,5.68E-01,,,,,,,
149,5.11E-01,2.67E+01,,,,,,,
150,5.09E-01,2.67E+01,,,,,,,
151,5.99E-01,2.27E+01,,,,,,,
152,4.02E+00,3.37E+00,,,,,,,
153,3.69E+00,3.67E+00,,,,,,,
154,6.87E-01,1.97E+01,,,,,,,
155,1.12E+00,1.20E+01,,,,,,,
156,4.17E+00,3.21E+00,,,,,,,
157,6.80E-01,1.97E+01,,,,,,,
158,3.44E+01,3.88E-01,,,,,,,
159,1.22E+01,1.10E+00,,,,,,,
160,1.88E+01,7.01E-01,,,,,,,
161,1.16E+01,1.13E+00,,,,,,,
162,3.69E+00,3.57E+00,,,,,,,
163,1.61E+00,8.16E+00,,,,,,,
164,1.23E+01,1.07E+00,,,,,,,
165,1.41E+00,9.28E+00,,,,,,,
166,1.52E+00,8.58E+00,,,,,,,
167,2.21E+01,5.89E-01,,,,,,,
168,2.68E+01,4.79E-01,,,,,,,
169,1.34E+01,9.55E-01,,,,,,,
170,4.32E+00,2.96E+00,,,,,,,
171,2.96E+00,4.31E+00,,,,,,,
172,8.35E+00,1.52E+00,,,,,,,
173,2.17E+01,5.83E-01,,,,,,,
174,1.22E+01,1.04E+00,,,,,,,
175,5.34E+00,2.36E+00,,,,,,,
176,1.24E+01,1.01E+00,,,,,,,
177,3.38E+00,3.70E+00,,,,,,,
178,2.35E+01,5.31E-01,,,,,,,
179,8.58E+00,1.45E+00,,,,,,,
180,2.45E+00,5.05E+00,,,,,,,
181,1.82E+00,6.82E+00,,,,,,,
182,6.27E+00,1.97E+00,,,,,,,
183,3.38E+00,3.65E+00,,,,,,,
184,2.16E+01,5.69E-01,,,,,,,
185,1.16E+01,1.06E+00,,,,,,,
186,2.21E+01,5.48E-01,,,,,,,
187,1.86E+01,6.53E-01,,,,,,,
188,1.55E+00,7.79E+00,,,,,,,
189,2.28E+01,5.31E-01,,,,,,,
190,6.86E+00,1.76E+00,,,,,,,
191,3.73E+00,3.23E+00,,,,,,,
192,8.68E-01,1.39E+01,,,,,,,
193,2.66E+01,4.52E-01,,,,,,,
194,1.71E+01,7.01E-01,,,,,,,
195,3.75E+00,3.20E+00,,,,,,,
196,2.42E+01,4.95E-01,,,,,,,
197,8.45E-01,1.42E+01,,,,,,,
198,4.48E-01,2.67E+01,,,,,,,
199,6.00E+00,1.99E+00,,,,,,,
200,1.37E+00,8.75E+00,,,,,,,
201,3.55E+00,3.36E+00,,,,,,,
202,4.90E+00,2.43E+00,,,,,,,
203,1.24E+01,9.58E-01,,,,,,,
204,2.00E+00,5.97E+00,,,,,,,
205,2.32E+01,5.14E-01,,,,,,,
206,1.94E+01,6.13E-01,,,,,,,
207,6.38E-01,1.86E+01,,,,,,,
208,1.07E+01,1.11E+00,,,,,,,
209,1.16E+01,1.02E+00,,,,,,,
210,1.30E+01,9.10E-01,,,,,,,
211,5.14E+00,2.29E+00,,,,,,,
212,1.00E+01,1.17E+00,,,,,,,
213,8.68E-01,1.35E+01,,,,,,,
214,1.71E+00,6.86E+00,,,,,,,
215,3.29E+01,3.56E-01,,,,,,,
216,2.96E+00,3.95E+00,,,,,,,
217,1.50E+00,7.79E+00,,,,,,,
218,4.17E+00,2.80E+00,,,,,,,
219,5.41E+00,2.15E+00,,,,,,,
220,5.91E+00,1.97E+00,,,,,,,
221,2.96E+00,3.94E+00,,,,,,,
222,1.99E+00,5.85E+00,,,,,,,
223,2.48E+01,4.68E-01,,,,,,,
224,1.98E+00,5.85E+00,,,,,,,
225,1.33E+00,8.75E+00,,,,,,,
226,3.38E+00,3.43E+00,,,,,,,
227,9.30E+00,1.24E+00,,,,,,,
228,1.04E+01,1.11E+00,,,,,,,
229,7.33E+00,1.57E+00,,,,,,,
230,2.35E+00,4.89E+00,,,,,,,
231,2.66E+01,4.33E-01,,,,,,,
232,2.91E+00,3.95E+00,,,,,,,
233,3.17E+00,3.60E+00,,,,,,,
234,1.34E+00,8.50E+00,,,,,,,
235,1.61E+00,7.06E+00,,,,,,,
236,9.17E+00,1.24E+00,,,,,,,
237,6.00E+00,1.90E+00,,,,,,,
238,1.24E+01,9.11E-01,,,,,,,
239,8.93E+00,1.27E+00,,,,,,,
240,2.19E+01,5.16E-01,,,,,,,
241,1.44E+00,7.81E+00,,,,,,,
242,1.95E+00,5.78E+00,,,,,,,
243,1.26E+01,8.89E-01,,,,,,,
244,1.52E+00,7.34E+00,,,,,,,
245,1.37E+01,8.16E-01,,,,,,,
246,1.36E+01,8.16E-01,,,,,,,
247,1.26E+01,8.85E-01,,,,,,,
248,2.42E+01,4.59E-01,,,,,,,
249,5.63E+00,1.97E+00,,,,,,,
250,1.27E+00,8.75E+00,,,,,,,
251,1.33E+00,8.31E+00,,,,,,,
252,2.15E+01,5.14E-01,,,,,,,
253,6.86E+00,1.61E+00,,,,,,,
254,5.73E-01,1.93E+01,,,,,,,
255,5.30E-01,2.08E+01,,,,,,,
256,2.01E+01,5.48E-01,,,,,,,
257,2.22E+00,4.95E+00,,,,,,,
258,4.12E-01,2.67E+01,,,,,,,
259,1.30E+00,8.43E+00,,,,,,,
260,3.27E+00,3.36E+00,,,,,,,
261,8.82E+00,1.24E+00,,,,,,,
262,1.20E+01,9.15E-01,,,,,,,
263,2.69E+00,4.02E+00,,,,,,,
264,5.14E+00,2.09E+00,,,,,,,
265,9.51E+00,1.12E+00,,,,,,,
266,3.69E+00,2.88E+00,,,,,,,
267,1.14E+00,9.28E+00,,,,,,,
268,4.01E+00,2.63E+00,,,,,,,
269,8.49E+00,1.24E+00,,,,,,,
270,6.49E-01,1.62E+01,,,,,,,
271,1.52E+01,6.91E-01,,,,,,,
272,1.43E+01,7.33E-01,,,,,,,
273,7.06E+00,1.49E+00,,,,,,,
274,5.42E-01,1.93E+01,,,,,,,
275,5.43E+00,1.91E+00,,,,,,,
276,5.22E+00,1.99E+00,,,,,,,
277,1.23E+00,8.40E+00,,,,,,,
278,2.73E+00,3.78E+00,,,,,,,
279,7.11E-01,1.44E+01,,,,,,,
280,5.46E+00,1.87E+00,,,,,,,
281,6.64E+00,1.53E+00,,,,,,,
282,1.25E+00,8.11E+00,,,,,,,
283,8.55E+00,1.18E+00,,,,,,,
284,6.72E-01,1.50E+01,,,,,,,
285,1.03E+01,9.82E-01,,,,,,,
286,8.07E+00,1.24E+00,,,,,,,
287,2.53E+01,3.96E-01,,,,,,,
288,1.94E+01,5.12E-01,,,,,,,
289,1.00E+01,9.82E-01,,,,,,,
290,4.68E+00,2.10E+00,,,,,,,
291,2.53E+00,3.84E+00,,,,,,,
292,1.23E+00,7.85E+00,,,,,,,
293,6.81E+00,1.42E+00,,,,,,,
294,1.89E+01,5.09E-01,,,,,,,
295,7.06E+00,1.36E+00,,,,,,,
296,1.21E+00,7.93E+00,,,,,,,
297,9.88E+00,9.66E-01,,,,,,,
298,3.86E+00,2.46E+00,,,,,,,
299,2.68E+01,3.47E-01,,,,,,,
300,4.98E+00,1.87E+00,,,,,,,
301,9.76E+00,9.52E-01,,,,,,,
302,5.88E+00,1.57E+00,,,,,,,
303,6.38E-01,1.43E+01,,,,,,,
304,6.82E+00,1.33E+00,,,,,,,
305,6.40E+00,1.42E+00,,,,,,,
306,4.58E+00,1.98E+00,,,,,,,
307,1.56E+00,5.78E+00,,,,,,,
308,1.34E+00,6.72E+00,,,,,,,
309,1.41E+01,6.36E-01,,,,,,,
310,4.68E+00,1.91E+00,,,,,,,
311,1.53E+00,5.85E+00,,,,,,,
312,5.38E+00,1.66E+00,,,,,,,
313,2.26E+00,3.95E+00,,,,,,,
314,4.74E+00,1.87E+00,,,,,,,
315,4.76E-01,1.86E+01,,,,,,,
316,1.29E+00,6.82E+00,,,,,,,
317,2.73E+01,3.23E-01,,,,,,,
318,2.33E+00,3.78E+00,,,,,,,
319,4.91E-01,1.79E+01,,,,,,,
320,1.50E+00,5.85E+00,,,,,,,
321,7.08E-01,1.24E+01,,,,,,,
322,9.07E+00,9.66E-01,,,,,,,
323,2.22E+00,3.95E+00,,,,,,,
324,1.59E+01,5.49E-01,,,,,,,
325,7.03E-01,1.24E+01,,,,,,,
326,5.31E+00,1.64E+00,,,,,,,
327,7.33E+00,1.18E+00,,,,,,,
328,4.93E+00,1.75E+00,,,,,,,
329,5.42E-01,1.59E+01,,,,,,,
330,1.09E+00,7.90E+00,,,,,,,
331,1.04E+01,8.26E-01,,,,,,,
332,5.62E-01,1.52E+01,,,,,,,
333,8.02E+00,1.06E+00,,,,,,,
334,1.68E+00,5.08E+00,,,,,,,
335,4.55E+00,1.87E+00,,,,,,,
336,5.20E-01,1.62E+01,,,,,,,
337,5.38E+00,1.57E+00,,,,,,,
