Reference,Height,Width,StripWidth,,,,,,
1,3.75E+01,5.69E+01,100,,,,,,
2,3.75E+01,1.01E+01,,,,,,,
3,1.14E+01,3.30E+01,,,,,,,
4,4.74E+00,4.68E+01,,,,,,,
5,7.02E+00,2.62E+01,,,,,,,
6,3.81E+00,4.18E+01,,,,,,,
7,3.62E+00,3.89E+01,,,,,,,
8,4.40E+00,2.62E+01,,,,,,,
9,1.83E+01,5.29E+00,,,,,,,
10,4.74E+00,2.02E+01,,,,,,,
11,1.83E+01,4.66E+00,,,,,,,
12,5.97E+00,1.38E+01,,,,,,,
13,3.81E+00,1.74E+01,,,,,,,
14,2.64E+01,2.49E+00,,,,,,,
15,1.83E+01,3.20E+00,,,,,,,
16,1.28E+01,4.24E+00,,,,,,,
17,1.99E+00,2.70E+01,,,,,,,
18,1.74E+01,2.90E+00,,,,,,,
19,1.32E+01,3.64E+00,,,,,,,
20,1.91E+01,2.49E+00,,,,,,,
21,4.81E+01,9.70E-01,,,,,,,
22,1.15E+00,4.01E+01,,,,,,,
23,1.83E+01,2.48E+00,,,,,,,
24,2.42E+00,1.78E+01,,,,,,,
25,3.98E+01,1.08E+00,,,,,,,
26,6.26E+00,6.85E+00,,,,,,,
27,4.81E+01,8.86E-01,,,,,,,
28,1.75E+00,2.43E+01,,,,,,,
29,2.39E+01,1.77E+00,,,,,,,
30,2.09E+01,2.00E+00,,,,,,,
31,3.29E+01,1.26E+00,,,,,,,
32,4.81E+01,8.60E-01,,,,,,,
33,2.10E+01,1.96E+00,,,,,,,
34,3.24E+00,1.26E+01,,,,,,,
35,6.90E-01,5.92E+01,,,,,,,
36,3.24E+00,1.23E+01,,,,,,,
37,2.73E+00,1.45E+01,,,,,,,
38,1.00E+01,3.95E+00,,,,,,,
39,1.83E+01,2.11E+00,,,,,,,
40,3.89E+00,9.92E+00,,,,,,,
41,1.64E+01,2.35E+00,,,,,,,
42,3.29E+01,1.16E+00,,,,,,,
43,4.97E+01,7.63E-01,,,,,,,
44,4.81E+01,7.88E-01,,,,,,,
45,1.89E+01,2.00E+00,,,,,,,
46,9.53E+00,3.96E+00,,,,,,,
47,1.03E+01,3.64E+00,,,,,,,
48,2.74E+01,1.37E+00,,,,,,,
49,4.43E+01,8.44E-01,,,,,,,
50,1.69E+00,2.20E+01,,,,,,,
51,1.62E+01,2.30E+00,,,,,,,
52,2.13E+01,1.73E+00,,,,,,,
53,1.24E+00,2.96E+01,,,,,,,
54,9.26E+00,3.95E+00,,,,,,,
55,2.86E+01,1.28E+00,,,,,,,
56,1.74E+01,2.09E+00,,,,,,,
57,2.74E+01,1.33E+00,,,,,,,
58,4.96E+01,7.32E-01,,,,,,,
59,2.89E+00,1.25E+01,,,,,,,
60,5.48E+00,6.58E+00,,,,,,,
61,1.21E+00,2.96E+01,,,,,,,
62,5.05E+00,7.13E+00,,,,,,,
63,5.97E+00,6.02E+00,,,,,,,
64,1.98E+01,1.81E+00,,,,,,,
65,2.82E+00,1.27E+01,,,,,,,
66,2.80E+01,1.27E+00,,,,,,,
67,4.99E+00,7.13E+00,,,,,,,
68,6.58E+00,5.40E+00,,,,,,,
69,4.97E+01,7.10E-01,,,,,,,
70,2.35E+01,1.50E+00,,,,,,,
71,2.74E+01,1.28E+00,,,,,,,
72,9.36E-01,3.76E+01,,,,,,,
73,4.85E+01,7.20E-01,,,,,,,
74,2.05E+01,1.70E+00,,,,,,,
75,6.95E+00,4.99E+00,,,,,,,
76,3.37E+00,1.02E+01,,,,,,,
77,4.85E+01,7.11E-01,,,,,,,
78,2.82E+00,1.22E+01,,,,,,,
79,4.96E+01,6.93E-01,,,,,,,
80,2.64E+00,1.30E+01,,,,,,,
81,2.35E+01,1.44E+00,,,,,,,
82,1.71E+01,1.96E+00,,,,,,,
83,1.09E+01,3.05E+00,,,,,,,
84,2.28E+00,1.46E+01,,,,,,,
85,2.27E+00,1.46E+01,,,,,,,
86,2.10E+01,1.57E+00,,,,,,,
87,2.70E+01,1.21E+00,,,,,,,
88,1.83E+00,1.78E+01,,,,,,,
89,4.51E+00,7.13E+00,,,,,,,
90,1.33E+00,2.43E+01,,,,,,,
91,2.46E+00,1.31E+01,,,,,,,
92,1.54E+00,2.06E+01,,,,,,,
93,1.98E+01,1.59E+00,,,,,,,
94,1.74E+01,1.79E+00,,,,,,,
95,6.88E+00,4.51E+00,,,,,,,
96,4.69E+00,6.58E+00,,,,,,,
97,3.89E+00,7.91E+00,,,,,,,
98,1.00E+01,3.05E+00,,,,,,,
99,2.59E+00,1.18E+01,,,,,,,
100,6.88E+00,4.39E+00,,,,,,,
101,2.49E+01,1.21E+00,,,,,,,
102,2.93E+00,1.02E+01,,,,,,,
103,6.58E+00,4.53E+00,,,,,,,
104,2.04E+00,1.46E+01,,,,,,,
105,2.53E+01,1.17E+00,,,,,,,
106,7.42E+00,4.00E+00,,,,,,,
107,5.92E+00,4.99E+00,,,,,,,
108,4.47E+00,6.58E+00,,,,,,,
109,2.13E+01,1.35E+00,,,,,,,
110,1.83E+01,1.56E+00,,,,,,,
111,6.88E+00,4.14E+00,,,,,,,
112,4.11E+00,6.85E+00,,,,,,,
113,8.83E-01,3.17E+01,,,,,,,
114,2.74E+01,1.02E+00,,,,,,,
115,1.35E+00,2.06E+01,,,,,,,
116,6.88E+00,4.04E+00,,,,,,,
117,6.94E+00,4.00E+00,,,,,,,
118,4.04E+00,6.85E+00,,,,,,,
119,1.55E+01,1.79E+00,,,,,,,
120,2.17E+01,1.27E+00,,,,,,,
121,9.36E-01,2.94E+01,,,,,,,
122,8.61E-01,3.17E+01,,,,,,,
123,1.07E+01,2.53E+00,,,,,,,
124,2.05E+01,1.32E+00,,,,,,,
125,1.11E+00,2.43E+01,,,,,,,
126,2.89E+00,9.33E+00,,,,,,,
127,2.11E+01,1.28E+00,,,,,,,
128,8.50E-01,3.17E+01,,,,,,,
129,6.90E-01,3.89E+01,,,,,,,
130,1.71E+01,1.57E+00,,,,,,,
131,5.38E+00,4.99E+00,,,,,,,
132,3.76E+00,7.13E+00,,,,,,,
133,1.83E+01,1.46E+00,,,,,,,
134,1.31E+01,2.04E+00,,,,,,,
135,2.76E+01,9.69E-01,,,,,,,
136,1.50E+00,1.78E+01,,,,,,,
137,2.28E+01,1.17E+00,,,,,,,
138,3.89E+00,6.85E+00,,,,,,,
139,6.65E+00,4.00E+00,,,,,,,
140,1.50E+01,1.77E+00,,,,,,,
141,6.62E+00,4.00E+00,,,,,,,
142,5.97E+00,4.43E+00,,,,,,,
143,1.07E+01,2.46E+00,,,,,,,
144,8.22E-01,3.17E+01,,,,,,,
145,4.85E+01,5.35E-01,,,,,,,
146,3.94E+00,6.58E+00,,,,,,,
147,3.33E+00,7.78E+00,,,,,,,
148,2.05E+01,1.26E+00,,,,,,,
149,2.13E+01,1.21E+00,,,,,,,
150,2.73E+00,9.45E+00,,,,,,,
151,1.71E+01,1.51E+00,,,,,,,
152,4.43E+01,5.81E-01,,,,,,,
153,3.29E+01,7.82E-01,,,,,,,
154,3.90E+00,6.58E+00,,,,,,,
155,4.81E+01,5.33E-01,,,,,,,
156,3.33E+00,7.65E+00,,,,,,,
157,6.37E+00,4.00E+00,,,,,,,
158,1.95E+01,1.30E+00,,,,,,,
159,1.93E+01,1.32E+00,,,,,,,
160,3.54E+00,7.17E+00,,,,,,,
161,4.85E+01,5.23E-01,,,,,,,
162,3.85E+00,6.58E+00,,,,,,,
163,1.94E+01,1.30E+00,,,,,,,
164,3.84E+00,6.58E+00,,,,,,,
165,6.31E+00,4.00E+00,,,,,,,
166,1.31E+01,1.92E+00,,,,,,,
167,2.73E+00,9.25E+00,,,,,,,
168,1.93E+01,1.31E+00,,,,,,,
169,2.64E+00,9.51E+00,,,,,,,
170,4.95E+00,4.99E+00,,,,,,,
171,2.64E+00,9.18E+00,,,,,,,
172,1.88E+00,1.28E+01,,,,,,,
173,3.35E+00,7.17E+00,,,,,,,
174,6.99E+00,3.40E+00,,,,,,,
175,1.16E+01,2.06E+00,,,,,,,
176,1.99E+00,1.19E+01,,,,,,,
177,1.71E+01,1.39E+00,,,,,,,
178,6.90E+00,3.40E+00,,,,,,,
179,5.46E+00,4.24E+00,,,,,,,
180,1.83E+01,1.26E+00,,,,,,,
181,9.49E-01,2.43E+01,,,,,,,
182,1.83E+01,1.24E+00,,,,,,,
183,2.59E+00,8.68E+00,,,,,,,
184,1.16E+01,1.94E+00,,,,,,,
185,1.10E+00,2.04E+01,,,,,,,
186,1.83E+01,1.22E+00,,,,,,,
187,2.00E+00,1.11E+01,,,,,,,
188,1.84E+01,1.21E+00,,,,,,,
189,5.62E+00,3.96E+00,,,,,,,
190,1.15E+00,1.91E+01,,,,,,,
191,1.71E+01,1.28E+00,,,,,,,
192,1.62E+01,1.35E+00,,,,,,,
193,2.00E+00,1.09E+01,,,,,,,
194,1.62E+01,1.34E+00,,,,,,,
195,1.64E+01,1.32E+00,,,,,,,
196,1.64E+01,1.32E+00,,,,,,,
197,5.45E+00,3.96E+00,,,,,,,
198,8.87E-01,2.43E+01,,,,,,,
199,1.88E+00,1.14E+01,,,,,,,
200,2.21E+01,9.69E-01,,,,,,,
,,,,,,,,,
,,,,,,,,,
