Rererence,Height,Width,StripWidth,
1,2.12E+01,2.94E+01,100,
2,2.12E+01,2.75E+01,,
3,4.98E+00,5.69E+01,,
4,3.12E+00,3.66E+01,,
5,1.18E+00,5.69E+01,,
6,6.29E+00,1.01E+01,,
7,3.10E+00,1.76E+01,,
8,2.41E+00,2.14E+01,,
9,1.63E+01,2.44E+00,,
10,1.77E+00,2.03E+01,,
11,2.35E+01,1.50E+00,,
12,1.83E+00,1.78E+01,,
13,5.70E-01,5.69E+01,,
14,4.51E+00,7.13E+00,,
15,1.54E+00,2.06E+01,,
16,1.98E+01,1.59E+00,,
17,1.81E+00,1.74E+01,,
18,1.74E+01,1.79E+00,,
19,6.88E+00,4.51E+00,,
20,4.69E+00,6.58E+00,,
21,5.80E+00,5.29E+00,,
22,1.00E+01,3.05E+00,,
23,2.59E+00,1.18E+01,,
24,6.88E+00,4.39E+00,,
25,2.93E+00,1.02E+01,,
26,2.53E+01,1.17E+00,,
27,7.42E+00,4.00E+00,,
28,4.47E+00,6.58E+00,,
29,1.20E+00,2.37E+01,,
30,1.83E+01,1.56E+00,,
31,2.12E+00,1.32E+01,,
32,6.88E+00,4.04E+00,,
33,4.04E+00,6.85E+00,,
34,1.55E+01,1.79E+00,,
35,2.17E+01,1.27E+00,,
36,1.99E+00,1.38E+01,,
37,1.35E+00,2.03E+01,,
38,8.49E+00,3.20E+00,,
39,1.11E+00,2.43E+01,,
40,6.90E-01,3.89E+01,,
41,1.83E+01,1.46E+00,,
42,2.76E+01,9.69E-01,,
43,2.28E+01,1.17E+00,,
44,6.65E+00,4.00E+00,,
45,1.07E+01,2.46E+00,,
46,3.83E+00,6.85E+00,,
47,1.14E+01,2.29E+00,,
48,2.05E+01,1.26E+00,,
49,2.13E+01,1.21E+00,,
50,3.33E+00,7.65E+00,,
51,1.95E+01,1.30E+00,,
52,3.54E+00,7.17E+00,,
53,1.94E+01,1.30E+00,,
54,1.14E+01,2.21E+00,,
55,2.30E+01,1.10E+00,,
56,1.31E+01,1.92E+00,,
57,1.93E+01,1.31E+00,,
58,9.10E-01,2.77E+01,,
59,2.64E+00,9.51E+00,,
60,6.29E+00,3.98E+00,,
61,4.95E+00,4.99E+00,,
