reference,height,width,stripwidth,,,,,,,,
1,2.85E+01,3.19E+01,100,,,,,,,,
2,4.65E+01,1.71E+01,,,,,,,,,
3,3.13E+01,2.14E+01,,,,,,,,,
4,2.97E+01,1.96E+01,,,,,,,,,
5,1.92E+01,2.94E+01,,,,,,,,,
6,3.13E+01,1.77E+01,,,,,,,,,
7,4.65E+01,1.19E+01,,,,,,,,,
8,2.53E+01,1.96E+01,,,,,,,,,
9,2.07E+01,1.95E+01,,,,,,,,,
10,2.26E+01,1.68E+01,,,,,,,,,
11,3.44E+01,1.05E+01,,,,,,,,,
12,3.59E+01,9.02E+00,,,,,,,,,
13,3.44E+01,9.00E+00,,,,,,,,,
14,1.36E+01,2.21E+01,,,,,,,,,
15,1.27E+01,2.29E+01,,,,,,,,,
16,1.92E+01,1.47E+01,,,,,,,,,
17,1.21E+01,2.29E+01,,,,,,,,,
18,1.63E+01,1.63E+01,,,,,,,,,
19,8.95E+00,2.90E+01,,,,,,,,,
20,8.95E+00,2.90E+01,,,,,,,,,
21,1.11E+01,2.29E+01,,,,,,,,,
22,1.63E+01,1.46E+01,,,,,,,,,
23,1.36E+01,1.69E+01,,,,,,,,,
24,1.30E+01,1.68E+01,,,,,,,,,
25,1.63E+01,1.33E+01,,,,,,,,,
